sample_label,Country,Site,location,EW,SN,latitude,longitude,Sampling_Day,Date,Date_dmy,Monsoon,Rain_1,Rain_2,Rain_3,Rain_4,Rain_5,Rain_6,Rain_7,Height_m,Current,Current_ef,neap_days,spring_days,Chlorophyll_Filtered,Chlorophyll_Unfiltered,Secchi_Depth,Temperature,Salinity,NOx,NO2,NO3,Phosphate,Silicate,NH4,DIN,DIN:PO4,DIN:Si,Si:PO4,Virus/ml,Bacteria/ml,Virus:Bacteria
WDL21,Singapore,WDL,Woodlands,West,S,1.455412128,103.7789817,21,44176,11/12/20,NE,5.8,11.6,11.6,11.6,11.6,11.8,16,2.74,-0.417514538,Ebb,3,4,2.41887015,7.505604557,0.5,31,23,20.102,3.828,16.318,1.148,2.656,12.935,33.037,28.77787456,12.43862952,2.31358885,9.27E+07,7.79E+06,11.9
WDL22,Singapore,WDL,Woodlands,West,S,1.455412128,103.7789817,22,44177,12/12/20,NE,0,5.8,11.6,11.6,11.6,11.6,11.8,3.04,-0.277148109,Ebb,4,3,7.975783415,8.127818427,2,29.3,25.8,18.343,3.49,14.897,1.158,1.08,12.581,30.924,26.70466321,28.63333333,0.932642487,8.77E+07,8.17E+06,10.74
WDL23,Singapore,WDL,Woodlands,West,S,1.455412128,103.7789817,23,44179,14/12/20,NE,0.6,21,21,26.8,32.6,32.6,32.6,3.24,0.0941714,Flood,6,1,37.52902496,22.46903251,1.5,31.5,25.2,15.902,2.35,13.621,0.75,1.625,9.433,25.335,33.78,15.59076923,2.166666667,9.01E+07,1.10E+07,8.22
WDL24,Singapore,WDL,Woodlands,West,S,1.455412128,103.7789817,24,44181,16/12/20,NE,7.2,19.8,20.4,40.8,40.8,46.6,52.4,2.83,0.440338277,Flood,6,1,58.21922002,62.41491652,1.5,30.5,25.4,13.889,2.179,11.767,0.361,0,3.29,17.179,47.58725762,#DIV/0!,0,1.64E+08,4.28E+06,38.32
WDL25,Singapore,WDL,Woodlands,West,S,1.455412128,103.7789817,25,44183,18/12/20,NE,0,6,13.2,25.8,26.4,46.8,46.8,2.36,0.412171777,Flood,4,3,30.12746447,30.66464982,1.5,27.9,27.1,16.939,3.551,13.423,1.243,0,4.198,21.137,17.00482703,#DIV/0!,0,1.29E+08,7.43E+06,17.33
WDL26,Singapore,WDL,Woodlands,West,S,1.455412128,103.7789817,26,44184,19/12/20,NE,5.2,5.2,11.2,18.4,31,31.6,52,2.14,0.329154854,Flood,3,4,18.20487418,8.047222044,1.5,29.3,26.8,16.021,3.271,12.788,1.267,0,4.243,20.264,15.99368587,#DIV/0!,0,1.08E+08,6.12E+06,17.59
WDL27,Singapore,WDL,Woodlands,West,S,1.455412128,103.7789817,27,44186,21/12/20,NE,0.4,0.4,5.6,5.6,11.6,18.8,31.4,2.01,0.025108884,Flood,1,6,19.40445572,38.64122719,1,31.5,26.1,18.931,5.555,13.333,1.064,0.18,0.752,19.683,18.49906015,109.35,0.169172932,1.05E+08,8.66E+06,12.1
WDL28,Singapore,WDL,Woodlands,West,S,1.455412128,103.7789817,28,44188,23/12/20,NE,1.6,1.6,2,2,7.2,7.2,13.2,2.03,-0.227013626,Ebb,1,7,0.563426856,0.995906946,4,29.9,24.6,20.91,4.82,16.113,1.514,4.981,17.04,37.95,25.0660502,7.618952018,3.28996037,9.67E+07,3.84E+06,25.18
WDL29,Singapore,WDL,Woodlands,West,S,1.455412128,103.7789817,29,44191,26/12/20,NE,0,0,0,1.6,1.6,2,2,2.71,-0.228658052,Ebb,4,4,1.160254034,4.083931797,1.5,31.6,21.9,20.418,4.598,15.85,3.895,21.343,66,86.418,22.18690629,4.049009043,5.479589217,6.68E+07,5.54E+06,12.08
WDL30,Singapore,WDL,Woodlands,West,S,1.455412128,103.7789817,30,44193,28/12/20,NE,45.2,87,87,87,87,88.6,88.6,2.93,-0.006716365,Ebb,6,2,20.30574265,19.54664128,1,30.5,15,23.994,3.779,20.345,2.515,22.838,66.18,90.174,35.85447316,3.948419301,9.080715706,6.07E+07,6.66E+06,9.12
