sample_label,Country,Site,location,EW,SN,latitude,longitude,Sampling_Day,Date,Date_dmy,Monsoon,Rain_1,Rain_2,Rain_3,Rain_4,Rain_5,Rain_6,Rain_7,Height_m,Current,Current_ef,neap_days,spring_days,Chlorophyll_Filtered,Chlorophyll_Unfiltered,Secchi_Depth,Temperature,Salinity,NOx,NO2,NO3,Phosphate,Silicate,NH4,DIN,DIN:PO4,DIN:Si,Si:PO4,Virus/ml,Bacteria/ml,Virus:Bacteria
SNB03,Malaysia,SNB,Senibong,East,N,1.484576,103.816974,3,44142,7/11/20,IM,0,0,16.4,25.2,40.4,40.4,53.4,2,0.189079072,Flood,1,7,3.75903623,3.613326618,1,29.4,23.3,23.463,12.64,10.024,2.654,29.32,47.73,71.193,26.82479277,2.42813779,11.04747551,4.49E+07,5.98E+06,7.52
SNB04,Malaysia,SNB,Senibong,East,N,1.484576,103.816974,4,44144,9/11/20,IM,12.4,62.2,62.2,62.2,78.6,87.4,102.6,2.12,-0.111229754,Ebb,1,6,1.363055744,1.992125328,1,29.7,20.3,28.354,13.53,13.215,2.891,27.25,67.76,96.114,33.24593566,3.527119266,9.42580422,1.45E+07,3.90E+06,3.71
SNB05,Malaysia,SNB,Senibong,East,N,1.484576,103.816974,5,44146,11/11/20,IM,6.8,6.8,19.2,69,69,69,85.4,2.64,-0.287714155,Ebb,3,4,31.91054419,1.983056145,1.5,30.8,20.3,25.019,13.65,10.985,1.303,11.176,29.85,54.869,42.10974674,4.909538296,8.577129701,7.68E+07,7.88E+06,9.74
SNB06,Malaysia,SNB,Senibong,East,N,1.484576,103.816974,6,44148,13/11/20,IM,0,0,6.8,6.8,19.2,69,69,3.4,-0.060246892,Ebb,5,2,39.82699495,42.23335126,1.5,31.1,22.6,14.654,11.569,2.806,0.53,1.738,2.658,17.312,32.66415094,9.960874568,3.279245283,1.03E+08,1.11E+07,9.25
SNB07,Malaysia,SNB,Senibong,East,N,1.484576,103.816974,7,44151,16/11/20,IM,40.4,52.6,52.6,52.6,52.6,59.4,59.4,3.05,0.408044953,Flood,6,1,7.861427313,4.179641124,2,31.5,26.2,16.54,9.61,6.713,1.952,9.92,27.66,44.2,22.64344262,4.455645161,5.081967213,1.54E+07,1.36E+06,11.28
SNB08,Malaysia,SNB,Senibong,East,N,1.484576,103.816974,8,44153,18/11/20,IM,6.4,11.2,51.6,63.8,63.8,63.8,63.8,2.54,0.496118839,Flood,4,3,8.599011883,8.747247078,1.1,31.8,24.9,23.98,9.081,14.741,0.685,12.521,35.08,59.06,86.2189781,4.716875649,18.27883212,9.53E+06,2.82E+06,3.38
SNB09,Malaysia,SNB,Senibong,East,N,1.484576,103.816974,9,44155,20/11/20,IM,5.2,5.2,11.6,16.4,56.8,69,69,1.96,0.308298684,Flood,2,5,3.070924787,11.83480469,1,30.3,19.2,17.958,9.503,8.21,1.684,6.61,25.246,43.204,25.65558195,6.536157337,3.925178147,3.11E+07,3.27E+06,9.51
SNB10,Malaysia,SNB,Senibong,East,N,1.484576,103.816974,10,44156,21/11/20,IM,2.6,7.8,7.8,14.2,19,59.4,71.6,1.81,0.08525034,Flood,1,6,5.699648904,4.323671027,0.7,30.1,24.1,10.423,4.47,5.849,0.831,4.752,18.859,29.282,35.23706378,6.162037037,5.718411552,2.50E+07,3.06E+06,8.17
SNB11,Malaysia,SNB,Senibong,East,N,1.484576,103.816974,11,44158,23/11/20,IM,36.4,85.6,88.2,93.4,93.4,99.8,104.6,2.15,-0.225754597,Ebb,1,7,1.006105912,11.96712487,1.1,29.6,20.8,29.897,9.97,17.746,1.699,19.451,29.69,59.587,35.07180695,3.063441468,11.44849912,1.67E+07,3.89E+06,4.29
SNB12,Malaysia,SNB,Senibong,East,N,1.484576,103.816974,12,44160,25/11/20,IM,0.2,1.2,37.6,86.8,89.4,94.6,94.6,2.65,-0.280136128,Ebb,3,5,3.599721335,1.567555593,1.5,28.9,18.6,12.964,7.818,4.893,1.751,7.853,7.365,20.329,11.60993718,2.58869222,4.484865791,2.37E+07,2.73E+06,8.71
SNB13,Malaysia,SNB,Senibong,East,N,1.484576,103.816974,13,44162,27/11/20,IM,1.8,1.8,2,3,39.4,88.6,91.2,2.91,-0.067433854,Ebb,5,3,3.43348078,4.293579301,1.7,29.2,23.2,22.432,10.588,11.527,3.78,14.984,16.868,39.3,10.3968254,2.622797651,3.964021164,3.28E+07,6.89E+06,4.76
SNB14,Malaysia,SNB,Senibong,East,N,1.484576,103.816974,14,44163,28/11/20,IM,0,1.8,1.8,2,3,39.4,88.6,3.15,-0.013650481,Ebb,6,2,5.689489018,5.87048017,1.9,29,25.7,23.687,9.899,13.521,2.511,12.341,19.74,43.427,17.29470331,3.518920671,4.91477499,2.04E+07,3.34E+06,6.11
SNB15,Malaysia,SNB,Senibong,East,N,1.484576,103.816974,15,44165,30/11/20,IM,0,2,2,3.8,3.8,4,5,2.98,0.217842402,Flood,8,0,6.921671883,8.257824268,1.7,29.8,25.8,24.562,8.691,15.676,2.052,13.164,36.68,61.242,29.84502924,4.652233364,6.415204678,1.54E+07,2.48E+06,6.21
SNB16,Malaysia,SNB,Senibong,East,N,1.484576,103.816974,16,44167,2/12/20,NE,0,1.6,1.6,3.6,3.6,5.4,5.4,2.66,0.369081365,Flood,6,2,17.92881635,7.515892621,1.4,29.8,25.3,20.791,6.84,13.924,1.304,2.06,5.18,25.971,19.91641104,12.60728155,1.579754601,3.84E+07,2.20E+06,17.41
SNB17,Malaysia,SNB,Senibong,East,N,1.484576,103.816974,17,44169,4/12/20,NE,31.8,31.8,31.8,33.4,33.4,35.4,35.4,2.63,0.35327818,Flood,4,4,15.8900705,18.82852579,1.6,29.8,27.8,15.443,4.24,11.195,1.268,3.249,13.067,28.51,22.48422713,8.775007695,2.562302839,4.22E+07,2.75E+06,15.37
SNB18,Malaysia,SNB,Senibong,East,N,1.484576,103.816974,18,44170,5/12/20,NE,5,36.8,36.8,36.8,38.4,38.4,40.4,2.42,0.279030847,Flood,3,5,6.378855589,17.94633669,1.4,30.2,27.1,12.507,3.086,9.422,1.61,2.678,13.243,25.75,15.99378882,9.615384615,1.663354037,4.99E+07,4.95E+06,10.08
SNB19,Malaysia,SNB,Senibong,East,N,1.484576,103.816974,19,44172,7/12/20,NE,0,0.2,5.2,37,37,37,38.6,2.01,0.04702696,Flood,1,7,23.1345968,8.967556066,1,30.3,27.7,19.234,3.999,15.259,1.375,1.532,12.5,31.734,23.07927273,20.71409922,1.114181818,4.64E+07,3.78E+06,12.28
SNB20,Malaysia,SNB,Senibong,East,N,1.484576,103.816974,20,44174,9/12/20,NE,0,6.6,6.6,6.8,11.8,43.6,43.6,2.22,-0.304913415,Ebb,1,6,9.105333005,24.46904969,1.4,30,27,18.058,3.781,14.3,1.885,3.381,21.047,39.105,20.74535809,11.5661047,1.793633952,7.59E+07,6.51E+06,11.67
SNB21,Malaysia,SNB,Senibong,East,N,1.484576,103.816974,21,44176,11/12/20,NE,19.8,40,40,46.6,46.6,46.8,51.8,2.74,-0.417514538,Ebb,3,4,12.51382533,9.247558608,1.7,29.8,26.7,19.044,3.982,15.091,2.216,4.153,21.182,40.226,18.15252708,9.686010113,1.874097473,7.19E+07,6.42E+06,11.2
SNB22,Malaysia,SNB,Senibong,East,N,1.484576,103.816974,22,44177,12/12/20,NE,0,19.8,40,40,46.6,46.6,46.8,3.04,-0.277148109,Ebb,4,3,12.84082411,19.41969943,1.6,29.9,25.5,21.372,4.946,16.443,2.416,6.383,9.187,30.559,12.64859272,4.787560708,2.641970199,4.11E+07,6.56E+06,6.26
SNB24,Malaysia,SNB,Senibong,East,N,1.484576,103.816974,24,44181,16/12/20,NE,3,21.6,22.2,49,49,68.8,89,2.83,0.440338277,Flood,6,1,7.192567526,11.49314162,1.5,30,27.4,15.156,4.218,10.919,2.335,7.712,20.82,35.976,15.40728051,4.664937759,3.302783726,3.23E+07,4.63E+06,6.99
SNB25,Malaysia,SNB,Senibong,East,N,1.484576,103.816974,25,44183,18/12/20,NE,8.4,24.2,27.2,45.8,46.4,73.2,73.2,2.36,0.412171777,Flood,4,3,11.69073374,12.01827807,1,28.1,26.3,17.675,4.211,13.474,1.559,3.447,20.405,38.08,24.42591405,11.0472875,2.211032713,9.63E+07,4.70E+06,20.5
SNB26,Malaysia,SNB,Senibong,East,N,1.484576,103.816974,26,44184,19/12/20,NE,6,14.4,30.2,33.2,51.8,52.4,79.2,2.14,0.329154854,Flood,3,4,11.89537902,5.391432057,1,28.6,25.1,14.391,3.627,10.763,2.494,11.128,37.85,52.241,20.94667201,4.694554277,4.461908581,3.82E+07,2.84E+06,13.45
SNB27,Malaysia,SNB,Senibong,East,N,1.484576,103.816974,27,44186,21/12/20,NE,2.6,2.6,8.6,17,32.8,35.8,54.4,2.01,0.025108884,Flood,1,6,7.318841643,6.009657293,1,28.9,25.1,18.504,4.585,13.922,1.953,5.843,23.58,42.084,21.5483871,7.202464487,2.991807476,5.68E+07,5.64E+06,10.06
SNB28,Malaysia,SNB,Senibong,East,N,1.484576,103.816974,28,44188,23/12/20,NE,0.2,0.2,2.8,2.8,8.8,17.2,33,2.03,-0.227013626,Ebb,1,7,3.113612904,3.525253854,1.2,29.3,25.5,19.587,5.865,13.67,2.626,8.778,25.305,44.892,17.09520183,5.114149009,3.34272658,8.83E+07,4.86E+06,18.17
SNB29,Malaysia,SNB,Senibong,East,N,1.484576,103.816974,29,44191,26/12/20,NE,0,11.2,11.2,11.4,11.4,14,14,2.71,-0.228658052,Ebb,4,4,6.567665567,9.083386479,1.7,36.1,26.2,15.369,4.004,11.356,3.247,12.728,20.011,35.38,10.89621189,2.779698303,3.919926086,4.40E+07,7.81E+05,56.39
SNB30,Malaysia,SNB,Senibong,East,N,1.484576,103.816974,30,44193,28/12/20,NE,17.2,60.4,60.4,71.6,71.6,71.8,71.8,2.93,-0.006716365,Ebb,6,2,14.73495463,38.3521939,1,29.8,15.5,13.215,2.983,10.251,3.88,18.231,55.11,68.325,17.60953608,3.74773737,4.69871134,3.51E+07,1.12E+06,31.38
STL01,Malaysia,STL,Stulang,West,N,1.46648,103.779175,1,44139,4/11/20,IM,0.6,10.8,10.8,48,48,48,50.6,2.24,0.451267095,Flood,4,4,2.417793347,3.241532555,1.6,28.8,25.8,16.109,10.13,5.345,2.984,25.521,38.83,54.939,18.41119303,2.152697778,8.552613941,5.37E+07,7.36E+06,7.29
STL02,Malaysia,STL,Stulang,West,N,1.46648,103.779175,2,44141,6/11/20,IM,0,18.2,18.8,29,29,66.2,66.2,2.05,0.330759442,Flood,2,6,8.746776754,9.803561181,1,31.5,18.3,31.284,9.388,21.816,1.352,27.16,39.97,71.254,52.70266272,2.623490427,20.0887574,1.97E+07,6.33E+06,3.11
STL03,Malaysia,STL,Stulang,West,N,1.46648,103.779175,3,44142,7/11/20,IM,0,0,18.2,18.8,29,29,66.2,2,0.189079072,Flood,1,7,3.999359825,3.593653723,0.9,29.4,22.6,28.457,11.28,17.035,2.553,36.17,57.14,85.597,33.52800627,2.366519215,14.16764591,4.49E+07,4.71E+06,9.52
STL04,Malaysia,STL,Stulang,West,N,1.46648,103.779175,4,44144,9/11/20,IM,15.6,62.6,62.6,62.6,80.8,81.4,91.6,2.12,-0.111229754,Ebb,1,6,1.879448674,6.6022889,0.7,31.1,20.2,29.581,12.66,16.249,2.544,29.62,56.8,86.381,33.9547956,2.91630655,11.64308176,1.59E+07,1.76E+06,8.99
STL05,Malaysia,STL,Stulang,West,N,1.46648,103.779175,5,44146,11/11/20,IM,1.2,1.2,16.8,63.8,63.8,63.8,82,2.64,-0.287714155,Ebb,3,4,26.2994052,26.75614617,0.6,32,21.3,24.677,6.939,17.679,0.68,7.519,7.712,32.389,47.63088235,4.307620694,11.05735294,4.86E+07,3.55E+06,13.67
STL06,Malaysia,STL,Stulang,West,N,1.46648,103.779175,6,44148,13/11/20,IM,0,0,1.2,1.2,16.8,63.8,63.8,3.4,-0.060246892,Ebb,5,2,37.07296399,5.257612587,1,32.2,22.2,13.724,6.597,7.005,0.08,0.319,1.351,15.075,188.4375,47.25705329,3.9875,1.61E+08,1.27E+07,12.64
STL07,Malaysia,STL,Stulang,West,N,1.46648,103.779175,7,44151,16/11/20,IM,92.6,131,131,131,131,132.2,132.2,3.05,0.408044953,Flood,6,1,21.06025721,21.11685345,1.2,31.8,18.5,22.102,7.039,14.974,0.175,4.323,11.332,33.434,191.0514286,7.733981032,24.70285714,2.47E+07,1.61E+06,15.36
STL08,Malaysia,STL,Stulang,West,N,1.46648,103.779175,8,44153,18/11/20,IM,8.6,12.8,105.4,143.8,143.8,143.8,143.8,2.54,0.496118839,Flood,4,3,9.132697166,9.500099328,1.3,31.6,18.7,30.574,8.722,21.757,0.655,10.968,31.11,61.684,94.1740458,5.623997082,16.74503817,1.25E+07,2.36E+06,5.3
