Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 min Rainfall (mm),Highest 60 min Rainfall (mm),Highest 120 min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Yishun,2020,12,1,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Yishun,2020,12,2,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Yishun,2020,12,3,    31.8,    27.4,    28.2,    29.8,-,-,-,-,-
Yishun,2020,12,4,     5.0,     2.0,     2.4,     3.2,-,-,-,-,-
Yishun,2020,12,5,     0.2,     0.2,     0.2,     0.2,-,-,-,-,-
Yishun,2020,12,6,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Yishun,2020,12,7,     6.6,     6.6,     6.6,     6.6,-,-,-,-,-
Yishun,2020,12,8,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Yishun,2020,12,9,    20.2,    18.8,    19.4,    19.8,-,-,-,-,-
Yishun,2020,12,10,    19.8,    17.2,    17.4,    19.0,-,-,-,-,-
Yishun,2020,12,11,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Yishun,2020,12,12,    26.8,    10.8,    12.4,    23.2,-,-,-,-,-
Yishun,2020,12,13,     0.6,     0.2,     0.4,     0.8,-,-,-,-,-
Yishun,2020,12,14,    18.6,    10.0,    10.4,    10.6,-,-,-,-,-
Yishun,2020,12,15,     3.0,     2.4,     2.4,     2.6,-,-,-,-,-
Yishun,2020,12,16,    15.8,    10.6,    10.8,    10.8,-,-,-,-,-
Yishun,2020,12,17,     8.4,     7.6,     8.0,     8.4,-,-,-,-,-
Yishun,2020,12,18,     6.0,     2.0,     3.4,     4.8,-,-,-,-,-
Yishun,2020,12,19,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Yishun,2020,12,20,     2.6,     1.0,     1.4,     2.2,-,-,-,-,-
Yishun,2020,12,21,     0.0,     0.0,     0.0,     0.2,-,-,-,-,-
Yishun,2020,12,22,     0.2,     0.2,     0.2,     0.2,-,-,-,-,-
Yishun,2020,12,23,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Yishun,2020,12,24,    11.2,    11.2,    11.2,    11.2,-,-,-,-,-
Yishun,2020,12,25,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Yishun,2020,12,26,    43.2,    30.8,    39.2,    40.6,-,-,-,-,-
Yishun,2020,12,27,    17.2,    14.6,    15.6,    16.6,-,-,-,-,-
Yishun,2020,12,28,     0.8,     0.8,     0.8,     0.8,-,-,-,-,-
Yishun,2020,12,29,    10.2,    10.0,    10.0,    10.2,-,-,-,-,-
Yishun,2020,12,30,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Yishun,2020,12,31,     0.6,     0.6,     0.6,     0.6,-,-,-,-,-
