Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 min Rainfall (mm),Highest 60 min Rainfall (mm),Highest 120 min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Yishun,2020,11,1,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Yishun,2020,11,2,    15.2,    10.2,    11.6,    11.6,-,-,-,-,-
Yishun,2020,11,3,     8.8,     8.4,     8.6,     8.6,-,-,-,-,-
Yishun,2020,11,4,    16.4,     7.0,     8.0,     9.6,-,-,-,-,-
Yishun,2020,11,5,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Yishun,2020,11,6,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Yishun,2020,11,7,    49.8,    29.4,    34.4,    37.0,-,-,-,-,-
Yishun,2020,11,8,    12.4,    10.4,    11.2,    12.0,-,-,-,-,-
Yishun,2020,11,9,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Yishun,2020,11,10,     6.8,     4.6,     5.2,     5.8,-,-,-,-,-
Yishun,2020,11,11,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Yishun,2020,11,12,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Yishun,2020,11,13,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Yishun,2020,11,14,    12.2,     6.4,    11.0,    11.8,-,-,-,-,-
Yishun,2020,11,15,    40.4,     9.2,    15.8,    21.6,-,-,-,-,-
Yishun,2020,11,16,     4.8,     1.6,     2.6,     3.8,-,-,-,-,-
Yishun,2020,11,17,     6.4,     3.6,     3.8,     5.8,-,-,-,-,-
Yishun,2020,11,18,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Yishun,2020,11,19,     5.2,     3.4,     5.2,     5.2,-,-,-,-,-
Yishun,2020,11,20,     2.6,     2.0,     2.6,     2.6,-,-,-,-,-
Yishun,2020,11,21,    49.2,    26.8,    35.4,    44.2,-,-,-,-,-
Yishun,2020,11,22,    36.4,    21.8,    26.4,    30.8,-,-,-,-,-
Yishun,2020,11,23,     1.0,     0.6,     0.6,     1.0,-,-,-,-,-
Yishun,2020,11,24,     0.2,     0.2,     0.2,     0.2,-,-,-,-,-
Yishun,2020,11,25,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Yishun,2020,11,26,     1.8,     0.6,     1.0,     1.4,-,-,-,-,-
Yishun,2020,11,27,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Yishun,2020,11,28,     2.0,     1.4,     1.4,     1.6,-,-,-,-,-
Yishun,2020,11,29,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Yishun,2020,11,30,     1.6,     1.6,     1.6,     1.6,-,-,-,-,-
